t,rf
955.0,4.8311104390333575e-05
960.0,4.5650458292337055e-05
965.0,4.325105767404961e-05
970.0,4.078739185329906e-05
975.0,3.909997587271721e-05
980.0,3.8199052349590454e-05
985.0,3.700012572264994e-05
990.0,3.5990881144291896e-05
995.0,3.4979082206038165e-05
1000.0,3.389904731903563e-05
1005.0,3.2422801050655166e-05
1010.0,3.0258499836577683e-05
1015.0,2.8069782697999744e-05
1020.0,2.5668498318475343e-05
1025.0,2.3200096691531228e-05
1030.0,2.0698415109256384e-05
1035.0,1.875062813554847e-05
1040.0,1.7471829902221793e-05
1045.0,1.6287125299312394e-05
1050.0,1.4970710673820801e-05
1055.0,1.3615135838584288e-05
1060.0,1.2608348394136286e-05
1065.0,1.1561581120153805e-05
1070.0,9.73442315047593e-06
1075.0,7.839814318326839e-06
1080.0,6.405347683931468e-06
1085.0,5.152877738235717e-06
1090.0,4.188160847923741e-06
1095.0,3.1618849808012355e-06
1100.0,2.759991818465187e-06
1105.0,2.199591260101884e-06
1110.0,1.9043809178679613e-06
1115.0,1.9538911591721424e-06
1120.0,1.8394877920741847e-06
1125.0,1.29980054492515e-06
1130.0,8.877033591049055e-07
1135.0,7.544354751164889e-07
1140.0,7.633842727005934e-07
1145.0,9.800063485516972e-07
1150.0,1.853792681904446e-06
1155.0,2.621229728886534e-06
1160.0,2.8209083688031798e-06
1165.0,2.5907168885165824e-06
1170.0,2.6420656514404682e-06
1175.0,3.43268463435731e-06
1180.0,4.0743198413949016e-06
1185.0,4.273723663202804e-06
1190.0,4.607252919275298e-06
1195.0,4.816416953545987e-06
1200.0,4.875607156362128e-06
1205.0,4.254667242089128e-06
1210.0,3.1055692302393227e-06
1215.0,2.9217003603699733e-06
1220.0,2.8894586628494375e-06
1225.0,8.156184817048976e-08
1230.0,8.396816452202535e-08
1235.0,1.0045290932950608e-07
1240.0,1.153028794459553e-07
1245.0,1.4202666668666336e-07
1250.0,1.4817844909595722e-07
1255.0,1.0609003149209025e-07
1260.0,5.567995371978141e-08
1265.0,0.0
1270.0,0.0
1275.0,0.0
1280.0,0.0
1285.0,0.0
1290.0,0.0
1295.0,0.0
1300.0,0.0
1305.0,0.0
1310.0,0.0
1315.0,0.0
1320.0,0.0
1325.0,0.0
1330.0,0.0
1335.0,0.0
1340.0,0.0
1345.0,0.0
1350.0,0.0
1355.0,0.0
1360.0,0.0
1365.0,0.0
1370.0,0.0
1375.0,0.0
1380.0,0.0
1385.0,0.0
1390.0,0.0
1395.0,0.0
1400.0,0.0
1405.0,0.0
1410.0,0.0
1415.0,0.0
1420.0,0.0
1425.0,0.0
1430.0,0.0
1435.0,0.0
1440.0,0.0
1445.0,0.0
1450.0,0.0
1455.0,0.0
