designator,type,upper,lower,name,value
KZBW,FIR,180.0,0.0,Boston FIR,0.7560996333920847
KZBW,UIR,,180.0,Boston UIR,0.7752693199492093
KZDC,FIR,180.0,0.0,Washington FIR,0.6011645024504482
KZDC,UIR,,180.0,Washington UIR,0.6151806051668304
KZDV,FIR,180.0,0.0,Denver FIR,0.8347689898201597
KZDV,UIR,,180.0,Denver UIR,0.8347689898201597
KZFW,FIR,180.0,0.0,Fort Worth FIR,0.198222218029675
KZFW,UIR,,180.0,Fort Worth UIR,0.198222218029675
KZHU,FIR,,0.0,Houston FIR,0.2312333138148628
KZID,FIR,180.0,0.0,Indianapolis FIR,0.47773353552714537
KZID,UIR,,180.0,Indianapolis UIR,0.4731064403583153
KZJX,FIR,180.0,0.0,Jacksonville FIR,0.4183348733246026
KZJX,UIR,,180.0,Jacksonville UIR,0.4027802212698043
KZKC,FIR,180.0,0.0,Kansas City FIR,0.6485351649129777
KZKC,UIR,,180.0,Kansas City UIR,0.6485351649129777
KZLA,FIR,180.0,0.0,Los Angeles FIR,0.13694413188703797
KZLA,UIR,,180.0,Los Angeles UIR,0.13694413188703797
KZLC,FIR,180.0,0.0,Salt Lake City FIR,1.2967789206956652
KZLC,UIR,,180.0,Salt Lake City UIR,1.2967789206956652
KZMA,FIR,,0.0,Miami FIR/UIR,0.2107184799082277
KZME,FIR,180.0,0.0,Memphis FIR,0.3637895369931108
KZME,UIR,,180.0,Memphis UIR,0.3444679162772336
KZMP,FIR,180.0,0.0,Minneapolis FIR,1.4703000220771505
KZMP,UIR,,180.0,Minneapolis UIR,1.4724339580865664
KZNY,FIR,180.0,0.0,New York FIR,0.7072544919713698
KZNY,UIR,,180.0,New York UIR,0.6740687026978629
KZOA,FIR,,0.0,Oakland FIR,0.14011086353181565
KZOB,FIR,180.0,0.0,Cleveland FIR,0.5189093964467963
KZOB,UIR,,180.0,Cleveland UIR,0.5120205721379084
KZSE,FIR,180.0,0.0,Seattle FIR,0.4429852391735951
KZSE,UIR,,180.0,Seattle UIR,0.4429852391735951
KZTL,FIR,180.0,0.0,Atlanta FIR,0.3048542117820255
KZTL,UIR,,180.0,Atlanta UIR,0.33973048455270105
KZWY,FIR,,0.0,New York Oceanic FIR,3.284031024011328
LAAA,FIR,,0.0,Tirana FIR,0.030673577644037706
LBSR,FIR,,0.0,Sofia FIR,0.34257423599931586
LCCC,FIR,,0.0,Nicosia FIR,0.021856390647934022
LDZO,FIR,,0.0,Zagreb FIR,0.25886603089304283
LECB,FIR,195.0,0.0,Barcelona FIR,0.2091047587133172
LECB,UIR,,195.0,Barcelona UIR,0.2091047587133172
LECM,FIR,195.0,0.0,Madrid FIR,0.7902488358288499
LECM,UIR,,195.0,Madrid UIR,0.7902488358288499
LFBB,FIR,195.0,0.0,Bordeaux FIR,0.5926058900287197
LFEE,FIR,195.0,0.0,Reims FIR,0.25263203459252737
LFFF,FIR,195.0,0.0,Paris FIR,0.7234241609935343
LFFF,UIR,,195.0,France UIR,2.5942591434029554
LFMM,FIR,195.0,0.0,Marseille FIR,0.4774670167102548
LFRR,FIR,195.0,0.0,Brest FIR,0.5481300410779187
LGGG,FIR,245.0,0.0,Athinai FIR,0.19943880366569383
LGGG,UIR,,245.0,Athinai UIR,0.19943880366569383
LHCC,FIR,,0.0,Budapest FIR,0.472895416778762
LIBB,FIR,195.0,0.0,Brindisi FIR,0.09210925568621194
LIBB,UIR,,195.0,Brindisi UIR,0.09210925568621194
LIMM,FIR,195.0,0.0,Milano FIR,0.4688767665941087
LIMM,UIR,,195.0,Milano UIR,0.4688767665941087
LIRR,FIR,195.0,0.0,Roma FIR,0.2099402751616457
LIRR,UIR,,195.0,Roma UIR,0.2099402751616457
LJLA,FIR,,0.0,Ljubljana FIR,0.0632216768195483
LKAA,FIR,,0.0,Praha FIR,0.5466458560885485
LLLL,FIR,,0.0,Tel-Aviv FIR,0.001843836265996235
LMMM,FIR,195.0,0.0,Malta FIR,0.006877019657943704
LMMM,UIR,,195.0,Malta UIR,0.006877019657943704
LOVV,FIR,,0.0,Wien FIR,0.44679022809847174
LPPC,FIR,,0.0,Lisboa FIR,0.34386459134751857
LPPO,FIR,,0.0,Santa Maria FIR,1.5183763607458336
LQSB,FIR,245.0,0.0,Sarajevo FIR,0.10618687603174369
LQSB,UIR,,245.0,Sarajevo UIR,0.10618687603174369
LRBB,FIR,,0.0,Bucarest FIR,1.0821581622867453
LSAS,FIR,195.0,0.0,Switzerland FIR,0.16239039783059123
LSAS,UIR,,195.0,Switzerland UIR,0.16239039783059123
LTAA,FIR,,0.0,Ankara FIR,0.6817459135124784
LTBB,FIR,,0.0,Istanbul FIR,0.2105381313053732
LUUU,FIR,,0.0,Chisinau FIR,0.09931816227116658
LWSS,FIR,,0.0,Skopje FIR,0.03307754785865695
LYBA,FIR,285.0,0.0,Beograd FIR,0.24155687685006128
LYBA,UIR,,285.0,Beograd UIR,0.24155687685006128
LZBB,FIR,,0.0,Bratislava  FIR,0.2662308161071515
MDCS,FIR,195.0,0.0,Santo Domingo FIR,0.010679189872256516
MDCS,UIR,,195.0,Santo Domingo UIR,0.010679189872256516
MHCC,FIR,195.0,0.0,Central America FIR,0.1128172349880262
MHCC,UIR,,195.0,Central America UIR,0.1128172349880262
MKJK,FIR,245.0,0.0,Kingston FIR,0.03874994329055421
MKJK,UIR,,245.0,Kingston UIR,0.03874994329055421
MMFO,FIR,,0.0,Oceanica Mazatlan FIR,0.0043172438257404406
MMFR,FIR,,0.0,Mexico FIR,0.25857410647038515
MPZL,FIR,,0.0,Panama FIR,0.0834243581316724
MTEG,FIR,,0.0,Port-Au-Prince FIR,0.004018702145231761
MUFH,FIR,,0.0,Habana FIR/UIR,0.050550389538471435
NFFF,FIR,,0.0,Nadi FIR,0.11184341549631785
NTTT,FIR,,0.0,Tahiti Oceanic FIR,0.022179176825519994
NZZC,FIR,,0.0,New Zealand FIR,0.03747521492510543
NZZO,FIR,,0.0,Auckland Oceanic FIR,0.1892150865051199
OAKX,FIR,,0.0,Kabul FIR,0.048419711450622134
OBBB,FIR,150.0,0.0,Bahrain FIR,0.005932642848210782
OBBB,UIR,,150.0,Bahrain UIR,0.005932642848210782
OEJD,FIR,,0.0,Jeddah FIR,0.11717193815495988
OIIX,FIR,,0.0,Tehran FIR,0.2121272578422429
OJAC,FIR,,0.0,Amman FIR,0.0024957603677599805
OKAC,FIR,,0.0,Kuwait FIR,0.001878990164401069
OLBB,FIR,195.0,0.0,Beirut FIR,0.0013579499986315414
OLBB,UIR,,195.0,Beirut UIR,0.0013579499986315414
OMAE,FIR,145.0,0.0,Emirates FIR,0.011305271297265874
OMAE,UIR,,145.0,Emirates UIR,0.011305271297265874
OOMM,FIR,,0.0,Muscat FIR,0.06836596325159987
OPKR,FIR,,0.0,Karachi FIR,0.04219172143432192
OPLR,FIR,,0.0,Lahore FIR,0.03575899876307243
ORBB,FIR,,0.0,Baghdad FIR,0.03141366878154893
OSTT,FIR,,0.0,Damascus FIR,0.008772765082562865
OYSC,FIR,,0.0,Sanaa FIR,0.06060934954379975
PAZA,FIR,,0.0,Alaska FIR,1.6451838062012571
RCAA,FIR,,0.0,Taipei FIR,0.09556270085457445
RJJJ,FIR,,0.0,Fukuoka FIR,1.1760548273442775
RKRR,FIR,,0.0,Incheon FIR,0.06634086319646604
RPHI,FIR,,0.0,Manila FIR,0.48948668288190805
SACF,FIR,,0.0,Cordoba FIR,0.016788765136607143
SAEF,FIR,,0.0,Ezeiza FIR,0.037827442448828054
SAMF,FIR,,0.0,Mendoza FIR,0.005516750120735164
SARR,FIR,,0.0,Resistencia FIR,0.014587658806107524
SAVF,FIR,,0.0,Comodoro Rivadavia FIR,0.025953688003789253
SBAO,FIR,,0.0,Atlantico FIR,0.18180292995653152
SBAZ,FIR,,0.0,Amazonica FIR,0.33861103832354816
SBBS,FIR,,0.0,Brasilia FIR,0.13753786604385548
SBCW,FIR,,0.0,Curitiba FIR,0.1401286119624904
SBRE,FIR,,0.0,Recife FIR,0.22900490672040175
SCCZ,FIR,,0.0,Punta Arenas FIR,0.018337702589366445
SCEZ,FIR,,0.0,Santiago FIR,0.009411621211109715
SCFZ,FIR,,0.0,Antofagasta FIR,0.0340219436998726
SCIZ,FIR,,0.0,Isla De Pascua FIR,0.04197562485857594
SCTZ,FIR,,0.0,Puerto Montt FIR,0.008903632997516495
SEFG,FIR,,0.0,Guayaquil FIR/UIR,0.038223478478870664
SGFA,FIR,,0.0,Asuncion FIR/UIR,0.00914269901268068
SKEC,FIR,,0.0,Barranquilla FIR,0.09710175477939317
SKED,FIR,,0.0,Bogota FIR,0.1389662229083266
SLLF,FIR,,0.0,La Paz FIR,0.04809702586457698
SMPM,FIR,,0.0,Paramaribo FIR,0.015173663235025898
SOOO,FIR,245.0,0.0,Cayenne FIR,0.01461382103727556
SOOO,UIR,,245.0,Cayenne UIR,0.01461382103727556
SPIM,FIR,,0.0,Lima FIR,0.1676434046735844
SUEO,FIR,,0.0,Montevideo FIR,0.02868628889843998
SVZM,FIR,,0.0,Maiquetia FIR,0.09833617354528021
SYGC,FIR,,0.0,Georgetown FIR,0.02258509592925172
TJZS,FIR,,0.0,San Juan Oceanic FIR/UIR,0.07953982048714153
TNCF,FIR,195.0,0.0,Curacao FIR,0.04715911725988271
TNCF,UIR,,195.0,Curacao UIR,0.04715911725988271
TTZP,FIR,245.0,0.0,Piarco FIR,0.11213857072175754
TTZP,UIR,,245.0,Piarco UIR,0.11213857072175754
UAAA,FIR,,0.0,Almaty FIR,0.4549080585595182
UACN,FIR,,0.0,Nur-Sultan FIR,1.223838211142323
UAII,FIR,,0.0,Shymkent FIR,0.23896959117385042
UATT,FIR,,0.0,Aktobe FIR,1.099753344787031
UBBA,FIR,,0.0,Baku FIR,0.09428136422291844
UCFM,FIR,,0.0,Bishkek FIR,0.027662732665939344
UCFO,FIR,,0.0,Osh FIR,0.022959180206689963
UDDD,FIR,,0.0,Yerevan FIR,0.02138083441107886
UEEE,FIR,,0.0,Yakutsk FIR,0.7464247115825434
UGGG,FIR,195.0,0.0,Tibilisi FIR,0.14708356846118087
UGGG,UIR,,195.0,Tibilisi UIR,0.14708356846118087
UHHH,FIR,,0.0,Khabarovsk FIR,0.4175051792908801
UHMM,FIR,,0.0,Magadan FIR,0.7371464093765453
UHPP,FIR,,0.0,Petropavlovsk-Kamchatsky FIR,0.34149244576122795
UIII,FIR,,0.0,Irkutsk FIR,0.7753874110559046
UKBV,FIR,275.0,0.0,Kiev FIR,0.33156170270577784
UKBV,UIR,,275.0,Kiev UIR,1.4971945482619597
UKDV,FIR,275.0,0.0,Dnipro FIR,0.19842299731091442
UKFV,FIR,275.0,0.0,Simferopol FIR,0.3595564419459062
UKLV,FIR,275.0,0.0,Lvov FIR,0.4325515807648877
UKOV,FIR,275.0,0.0,Odessa FIR,0.17510182553447368
ULAA,FIR,,0.0,Arkhangelsk FIR,0.4472492378524019
ULKK,FIR,,0.0,Kotlas FIR,0.19831788286254914
ULLL,FIR,,0.0,Sankt-Peterburg FIR,0.9622405611380115
ULMM,FIR,,0.0,Murmansk FIR,0.20078975412595199
ULWW,FIR,,0.0,Vologda FIR,0.7063235985818352
UMKK,FIR,,0.0,Kaliningrad FIR,0.12742060346531103
UMMV,FIR,,0.0,Minsk FIR,0.8796053953645881
UNKL,FIR,,0.0,Krasnoyarsk FIR,2.193213407781851
UNNT,FIR,,0.0,Novosibirsk FIR,2.324719604847586
URRV,FIR,,0.0,Rostov-Na-Donu FIR,1.4244728096870345
USSV,FIR,,0.0,Yekaterinburg FIR,2.569914122049223
USTV,FIR,,0.0,Tyumen FIR,2.297543515332325
UTAA,FIR,,0.0,Ashgabat FIR,0.025473444530246026
UTAK,FIR,,0.0,Turkmenbashi FIR,0.03914623348277129
UTAT,FIR,,0.0,Dashoguz FIR,0.020548567236770884
UTAV,FIR,,0.0,Turkmenabat FIR,0.023847915286687858
UTDD,FIR,,0.0,Dushanbe FIR,0.022057782145062335
UTSD,FIR,,0.0,Samarkand FIR,0.0265759491973218
UTTR,FIR,,0.0,Tashkent FIR,0.1063373423615364
UUWV,FIR,,0.0,Moscow FIR,3.302104186594554
UUYY,FIR,,0.0,Syktyvkar FIR,0.9775005786840859
UWWW,FIR,,0.0,Samara FIR,2.2563523935954657
VABF,FIR,,0.0,Mumbai FIR,0.4151133848468105
VCCF,FIR,,0.0,Colombo FIR,0.3761308092309217
VDPF,FIR,,0.0,Phnom Penh FIR,0.04708511098482208
VECF,FIR,,0.0,Kolkata FIR,0.17224204424134498
VGFR,FIR,,0.0,Dhaka FIR,0.013954697254878037
VHHK,FIR,,0.0,Hong Kong FIR,0.07859928900324331
VIDF,FIR,,0.0,Delhi FIR,0.05257806090729414
VLVT,FIR,,0.0,Vientiane FIR,0.060169630188253186
VNSM,FIR,,0.0,Kathmandu FIR,0.004218748577554989
VOMF,FIR,,0.0,Chennai FIR,0.7369407063902123
VRMF,FIR,,0.0,Male FIR,0.040264298056711695
VTBB,FIR,,0.0,Bangkok FIR,0.3200726227873577
VVTS,FIR,,0.0,Ho Chi Minh FIR,0.5223222449608794
VVVV,FIR,,0.0,Hanoi FIR,0.021831459166649792
VYYF,FIR,,0.0,Yangon FIR,0.16169986716874693
WAAF,FIR,,0.0,U-Jung Pandang FIR,0.638154478346448
WBFC,FIR,,0.0,Kota Kinabalu FIR,0.11296699479091837
WIIF,FIR,,0.0,Jakarta FIR,0.9945093267886203
WMFC,FIR,,0.0,Kuala Lumpur FIR,0.3305501923941136
WSJC,FIR,,0.0,Singapore FIR,0.4981944537882725
,NO_FIR,,0.0,,0.002946332070807266
YBBB,FIR,,0.0,Brisbane FIR,0.23394009824894527
YMMM,FIR,,0.0,Melbourne FIR,0.38870038774815663
ZBPE,FIR,,0.0,Beijing FIR,0.18077753422243686
ZGZU,FIR,,0.0,Guangzhou FIR,0.05552243122285331
ZHWH,FIR,,0.0,Wuhan FIR,0.058686944116493625
ZJSA,FIR,,0.0,Sanya FIR,0.09971155567926081
ZKKP,FIR,,0.0,Pyongyang FIR,0.05115882273240245
ZLHW,FIR,,0.0,Lanzhou FIR,0.18400651818654995
ZMUB,FIR,,0.0,Ulaanbaatar FIR,0.4637734006163041
ZPKM,FIR,,0.0,Kunming FIR,0.03973881403951871
ZSHA,FIR,,0.0,Shanghai FIR,0.217567281861807
ZWUQ,FIR,,0.0,Urumqi FIR,0.3603637518884755
ZYSH,FIR,,0.0,Shenyang FIR,0.24275450655420705
