designator,type,upper,lower,name,id,2019,2024
FZZA,FIR,245.0,0.0,Kinshasa FIR,6a592d90,0.1258901776808854,0.0912409939236669
FZZA,UIR,,245.0,Kinshasa UIR,66da95ff,0.1258901776808854,0.0912409939236669
GCCC,FIR,195.0,0.0,Canarias FIR,72c4a516,0.0514467055409088,0.0704725043163776
GCCC,UIR,245.0,195.0,Canarias UIR,92d4c5a5,0.002461164983991,0.0051001238625039
GCCC,UIR,,195.0,Canarias UIR,4200d421,0.0489855405569178,0.0653723804538736
GLRB,FIR,,0.0,Roberts FIR,e05f7adb,0.0159980584161654,0.0105656608458319
GMMM,FIR,195.0,0.0,Casablanca FIR,b6086859,0.1367543048441114,0.1949580163040041
GMMM,UIR,,195.0,Casablanca UIR,4d003f70,0.1367543048441114,0.1949580163040041
GOOO,FIR,245.0,0.0,Dakar FIR,b2c9712f,0.3680668362585515,0.346631280297906
GOOO,UIR,,245.0,Dakar UIR,9352f0bc,0.3705280012425426,0.35173140416041
GVSC,FIR,245.0,0.0,Sal Oceanic FIR,f5f5abed,0.0956704913139059,0.0773586188763258
GVSC,UIR,,245.0,Sal Oceanic UIR,9add65cb,0.0956704913139059,0.0773586188763258
HAAA,FIR,,0.0,Addis Abeba FIR,3733e4e9,0.0900982417257374,0.1167654943445854
HBBA,FIR,245.0,0.0,Bujumbura FIR,f488a443,0.0006783658892374,0.0003912857329819
HBBA,UIR,,245.0,Bujumbura UIR,6107784c,0.0006783658892374,0.0003912857329819
HCSM,FIR,,0.0,Mogadishu FIR/UIR,01bec047,0.1330362872693483,0.0976495572135082
HECC,FIR,,0.0,Cairo FIR,b8364ba8,0.0282562188742576,0.0561177753963421
HHAA,FIR,,0.0,Asmara FIR,ced2716b,0.0033042725474842,0.0083551490748084
HKNA,FIR,,0.0,Nairobi FIR,44b21604,0.058297737630819,0.0635919951075114
HLLL,FIR,,0.0,Tripoli FIR,7744387c,0.0258996682879479,0.027765745533174
HRYR,FIR,245.0,0.0,Kigali FIR,3fbb31ad,0.0009155127610272,0.0005984563432383
HRYR,UIR,,245.0,Kigali UIR,2b820e59,0.0009155127610272,0.0005984563432383
HSSS,FIR,285.0,0.0,Khartoum FIR,89e3ee7e,0.1243387851325548,0.0858369463932801
HSSS,UIR,,285.0,Khartoum UIR,757231b0,0.1243387851325548,0.0858369463932801
HTDC,FIR,,0.0,Dar-Es-Salaam FIR,8acdbaeb,0.0516568287989064,0.0548311717194728
HUEC,FIR,,0.0,Entebbe FIR,78bc1882,0.0107862287171542,0.0281782539708854
KZAB,FIR,180.0,0.0,Albuquerque FIR,fa9d338f,0.2283773493595514,0.1299615809772052
KZAB,UIR,,180.0,Albuquerque UIR,6c8040e7,0.2283773493595514,0.1299615809772052
KZAK,FIR,,0.0,Oakland Oceanic FIR,bfabcce3,2.8626006760108176,3.6508920637012223
KZAU,FIR,180.0,0.0,Chicago FIR,a3cbecda,0.6789727095782709,0.4687944283538667
KZAU,UIR,,180.0,Chicago UIR,d4977709,0.6883546930465732,0.4756209938485694
KZBW,FIR,180.0,0.0,Boston FIR,da6a7f50,0.7560996333920847,0.6116710763634338
KZBW,UIR,,180.0,Boston UIR,2bdf3a20,0.7752693199492093,0.624996312050997
KZDC,FIR,180.0,0.0,Washington FIR,5b011d2b,0.6011645024504482,0.3895077152862244
KZDC,UIR,,180.0,Washington UIR,f81cdddc,0.6151806051668304,0.3975386573110804
KZDV,FIR,180.0,0.0,Denver FIR,2ca17661,0.8347689898201597,0.631836024060153
KZDV,UIR,,180.0,Denver UIR,905deea4,0.8347689898201597,0.631836024060153
KZFW,FIR,180.0,0.0,Fort Worth FIR,795267e8,0.198222218029675,0.1054097677345965
KZFW,UIR,,180.0,Fort Worth UIR,56ee9782,0.198222218029675,0.1054097677345965
KZHU,FIR,,0.0,Houston FIR,21d75585,0.2312333138148628,0.1305847725315275
KZID,FIR,180.0,0.0,Indianapolis FIR,ceee683d,0.4777335355271453,0.3769990356264729
KZID,UIR,,180.0,Indianapolis UIR,738a7710,0.4731064403583153,0.373526960129484
KZJX,FIR,180.0,0.0,Jacksonville FIR,eb50e3ef,0.4183348733246026,0.2299562998438734
KZJX,UIR,,180.0,Jacksonville UIR,ceae4d7f,0.4027802212698043,0.2211576853845411
KZKC,FIR,180.0,0.0,Kansas City FIR,1b9fb754,0.6485351649129777,0.4120041842783281
KZKC,UIR,,180.0,Kansas City UIR,9e05ab6b,0.6485351649129777,0.4120041842783281
KZLA,FIR,180.0,0.0,Los Angeles FIR,5f4a3a77,0.1369441318870379,0.117839778128344
KZLA,UIR,,180.0,Los Angeles UIR,a8cc65c1,0.1369441318870379,0.117839778128344
KZLC,FIR,180.0,0.0,Salt Lake City FIR,5d92290d,1.2967789206956652,1.1347205335979016
KZLC,UIR,,180.0,Salt Lake City UIR,91dd73df,1.2967789206956652,1.1347205335979016
